image_id,algorithm,W,H,S_raw,S_encoded,CR,saving_percent,bpp,T_enc,T_decode,T_total,PeakRSS,PeakRSS_additional,PSNR,SSIM,lossless_exact
11,Huffman,512,384,589824,558751,1.055611533581148,5.268181694878471,22.735636393229168,0.04139310100026705,0.11461302399993656,0.1560061250002036,258764,0,inf,1.0,True
11,LZW,512,384,589824,559909,1.0534283249599488,5.071851942274308,22.782755533854168,0.005724667999857047,0.002595853000002535,0.008320520999859582,258764,0,inf,1.0,True
11,Slepian-Wolf,512,384,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.10842180200006624,1.90603468900008,2.0144564910001463,258764,0,38.1554196724377,0.9827569007962315,False
11,Wyner-Ziv,512,384,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.11567338099985136,1.8775298729997303,1.9932032539995816,258764,0,33.035447384055765,0.9242421055683291,False
110,JPEG,512,384,589824,53709,10.981846617885271,90.89406331380209,2.1854248046875,0.0010048819999610714,0.0011297350001768791,0.0021346170001379505,258764,0,30.981640685848845,0.8786314901874143,False
110,Huffman,512,384,589824,568617,1.0372957544357626,3.595479329427087,23.1370849609375,0.04344957900002555,0.1260782660001496,0.16952784500017515,258764,0,inf,1.0,True
110,LZW,512,384,589824,595105,0.9911259357592358,-0.895351833767366,24.214884440104168,0.005924633000176982,0.0026067630001307407,0.008531396000307723,258764,0,inf,1.0,True
110,Slepian-Wolf,512,384,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.11742052899990085,1.7512072229997102,1.868627751999611,258764,0,36.32638937484134,0.9888210126681202,False
110,Wyner-Ziv,512,384,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.12488586400013446,1.7966216709996843,1.9215075349998187,258764,0,32.397855579740906,0.9334015618003274,False
1100,JPEG,512,384,589824,50086,11.776224893183723,91.50831434461806,2.0380045572916665,0.0011735150001186412,0.0013066489996163,0.002480163999734941,258764,0,32.65733703252704,0.9178922684609571,False
1100,Huffman,512,384,589824,557553,1.0578796993290325,5.4712931315104125,22.6868896484375,0.04349622500012629,0.12100248500019006,0.16449871000031635,258764,0,inf,1.0,True
1100,LZW,512,384,589824,564157,1.0454962005257402,4.351637098524308,22.955607096354168,0.005791048999981285,0.010602790999655554,0.01639383999963684,258764,0,inf,1.0,True
1100,Slepian-Wolf,512,384,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.116237627999908,0.9491894749999119,1.06542710299982,258764,0,37.80291265311425,0.9931560308005701,False
1100,Wyner-Ziv,512,384,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.12388238099993032,0.8631139999997686,0.9869963809996989,258764,0,32.87779239054721,0.9145688731489704,False
1101,JPEG,384,512,589824,54091,10.904290917158123,90.82929823133681,2.2009684244791665,0.001634906999697705,0.0013639979997606133,0.0029989049994583183,258764,0,32.2040149555262,0.8972931358474242,False
1101,Huffman,384,512,589824,548947,1.0744643836290206,6.930372450086808,22.336710611979168,0.03935367400026735,0.11425860100007412,0.15361227500034147,258764,0,inf,1.0,True
1101,LZW,384,512,589824,583639,1.0105973041554797,1.048617892795134,23.748331705729168,0.006326184999579709,0.002732140999796684,0.009058325999376393,258764,0,inf,1.0,True
1101,Slepian-Wolf,384,512,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.1107325830002992,0.809621220000281,0.9203538030005802,258764,0,39.364433068282075,0.9951266875126897,False
1101,Wyner-Ziv,384,512,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.11696895999966728,0.9749237430000903,1.0918927029997576,258764,0,33.02829534193172,0.9192905413177259,False
1102,JPEG,512,384,589824,50369,11.710059758978737,91.46033393012154,2.0495198567708335,0.0010323039996364969,0.0011787849998654565,0.0022110889995019534,258764,0,32.409935726891746,0.9118537255026045,False
1102,Huffman,512,384,589824,557216,1.0585194969275828,5.528428819444442,22.673177083333332,0.042272916000001715,0.1155742660002943,0.15784718200029602,258764,0,inf,1.0,True
1102,LZW,512,384,589824,585169,1.0079549668557288,0.789218478732634,23.810587565104168,0.0059677140002349915,0.0027665309999065357,0.008734245000141527,258764,0,inf,1.0,True
1102,Slepian-Wolf,512,384,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.11386372000015399,0.9339003159998356,1.0477640359999896,258764,0,38.60223918394382,0.9947634041264143,False
1102,Wyner-Ziv,512,384,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.11839341299992157,1.0631239069998628,1.1815173199997844,258764,0,32.54358117927914,0.9040906257714134,False
1103,JPEG,512,384,589824,48831,12.078884315291516,91.72108968098959,1.9869384765625,0.0010366980000071635,0.001073115999588481,0.0021098139995956444,258764,0,33.065500835589646,0.9181663547723397,False
1103,Huffman,512,384,589824,561525,1.0503966875918258,4.7978719075520875,22.8485107421875,0.03913241400005063,0.11592202199972235,0.15505443599977298,258764,0,inf,1.0,True
