algorithm,psnr,ssim,edge_preservation,iou,dice_coefficient,precision,recall,compression_ratio,execution_time,cpu_usage,memory_usage_mb,performance_score
MobileNet-Seg,7.764442103892676,0.0025594613589344545,0.0,0.0,0.0,0.0,0.0,0.0,0.421558141708374,94.9,0.0,66.96147286097208
K-Means,23.624978625481347,0.6475594081844759,0.21863852556480382,0.7392714629080811,0.8500932472864369,0.9693409216082247,0.756971159589974,0.0,0.7456026077270508,97.9,0.0,64.88132464090982
Otsu,13.127661473906539,0.48882374070973195,0.19853252434034147,0.4293026998339354,0.6007162791811899,0.6022672687097704,0.5991732575087811,0.0,0.0023849010467529297,417.5,0.0,66.65871699651082
Adaptive Thresholding,11.827126672220183,0.2579490858656512,0.12234284063235233,0.487593705189407,0.6555468788130216,0.6698167310809126,0.6418723566939858,0.0,0.002274036407470703,0.0,0.0,99.99241987864177
Region Growing,10.809519327472243,0.27249140647451203,0.10262092152517766,0.455826724783502,0.6262101347964864,0.6988842111461124,0.5672265895677523,0.0,0.12046337127685547,99.6,0.0,66.39845542907715
Split and Merge,13.127661473906539,0.48882374070973195,0.19853252434034147,0.4293026998339354,0.6007162791811899,0.6022672687097704,0.5991732575087811,0.0,0.019071102142333984,104.8,0.0,66.60309632619222
MobileNet-Seg,8.928648873859299,0.3870621713583524,0.699341021416804,0.05005788376939106,0.09534309402010936,0.12388738205294725,0.07748918783302669,0.0,0.41728878021240234,98.2,0.0,65.87570406595866
K-Means,25.670769214799787,0.7810880248700713,0.30189893788220146,0.6481846671252771,0.7865437411886919,0.9831204062231909,0.6554794626431895,0.0,0.4439268112182617,99.1,0.0,65.48691062927246
Otsu,24.853127318032765,0.5562520120429951,0.5618101545253863,0.2840080346106304,0.44237734804635326,0.9982078853046595,0.28415292098876127,0.0,0.0028259754180908203,0.0,0.0,99.9905800819397
Adaptive Thresholding,16.741449479895078,0.7399384836775252,0.17763078773301264,0.8262118381024445,0.9048368002705902,0.998693371661098,0.827105909997372,0.0,0.001461029052734375,0.0,0.0,99.99512990315755
Region Growing,11.31834558842182,0.28206500148912167,0.03985239852398524,0.07341165558818982,0.1367819237028183,0.9993686868686869,0.0734150602130258,0.0,0.019364356994628906,103.2,0.0,66.6021188100179
Split and Merge,24.853127318032765,0.5562520120429951,0.5618101545253863,0.2840080346106304,0.44237734804635326,0.9982078853046595,0.28415292098876127,0.0,0.030658483505249023,97.8,0.0,67.2978050549825
MobileNet-Seg,11.062133156990617,0.22985600877512094,0.0,0.0,0.0,0.0,0.0,0.0,0.37926673889160156,97.6,0.0,66.20244420369467
K-Means,22.337048941173734,0.7135090987127307,0.2863799944634124,0.41538651939171733,0.5869584225943252,0.9863350843037137,0.4177908478426613,0.0,0.3299989700317383,100.0,0.0,65.56667009989421
