timestamp,node_id,image_id,algorithm,profile,psnr_db,ssim,mask_iou,mask_dice,cpu_time_ms,memory_kb,compressed_bytes,compression_ratio
2026-08-30T07:55:28.406312,1,img_0067,ADRES,E,19.628,0.6688,0.86,0.9247,2794.895,41600.0,54090.0,17.04
2026-08-30T07:55:36.528170,1,img_0068,ADRES,Q,22.792,0.7913,0.86,0.9247,3701.504,41600.0,95471.0,9.65
2026-08-30T07:55:36.528170,1,img_0068,ADRES,E,19.633,0.6695,0.86,0.9247,2764.478,41600.0,53996.0,17.07
2026-08-30T07:55:46.543335,1,img_0069,ADRES,Q,22.948,0.7982,0.8051,0.892,4462.367,41600.0,114664.0,8.04
2026-08-30T07:55:46.543335,1,img_0069,ADRES,E,19.648,0.6957,0.8051,0.892,3797.772,41600.0,70973.0,12.99
2026-08-30T07:55:56.503250,1,img_0070,ADRES,Q,22.914,0.798,0.8051,0.892,4527.208,41600.0,117487.0,7.84
2026-08-30T07:55:56.503250,1,img_0070,ADRES,E,19.612,0.6934,0.8051,0.892,3764.987,41600.0,71243.0,12.94
2026-08-30T07:56:06.556755,1,img_0071,ADRES,Q,23.004,0.7977,0.8051,0.892,4482.397,41600.0,114284.0,8.06
2026-08-30T07:56:06.556755,1,img_0071,ADRES,E,19.68,0.6941,0.8051,0.892,3779.528,41600.0,70802.0,13.02
2026-08-30T07:56:16.458334,1,img_0072,ADRES,Q,22.956,0.7974,0.8051,0.892,4509.59,41600.0,113855.0,8.09
2026-08-30T07:56:16.458334,1,img_0072,ADRES,E,19.62,0.6937,0.8051,0.892,3752.133,41600.0,70593.0,13.06
2026-08-30T07:56:24.535250,1,img_0073,ADRES,Q,25.345,0.8535,0.9369,0.9674,3546.272,41620.0,90356.0,10.2
2026-08-30T07:56:24.535250,1,img_0073,ADRES,E,21.069,0.7772,0.9369,0.9674,2808.414,41620.0,51790.0,17.79
2026-08-30T07:56:32.593618,1,img_0074,ADRES,Q,25.337,0.8533,0.9369,0.9674,3582.989,41620.0,92101.0,10.01
2026-08-30T07:56:32.593618,1,img_0074,ADRES,E,20.996,0.7745,0.9369,0.9674,2839.107,41620.0,52470.0,17.56
2026-08-30T07:56:40.846870,1,img_0075,ADRES,Q,25.384,0.854,0.9369,0.9674,3591.106,41620.0,90395.0,10.2
2026-08-30T07:56:40.846870,1,img_0075,ADRES,E,21.055,0.7777,0.9369,0.9674,2814.942,41620.0,51812.0,17.79
2026-08-30T07:56:48.982212,1,img_0076,ADRES,Q,25.387,0.8537,0.9369,0.9674,3545.039,41620.0,91043.0,10.12
2026-08-30T07:56:48.982212,1,img_0076,ADRES,E,21.065,0.776,0.9369,0.9674,2828.206,41620.0,51788.0,17.8
2026-08-30T07:56:55.082357,1,img_0077,ADRES,Q,22.731,0.801,0.8292,0.9066,2312.697,41620.0,58449.0,15.77
2026-08-30T07:56:55.082357,1,img_0077,ADRES,E,17.801,0.6992,0.8292,0.9066,2015.105,41620.0,36463.0,25.27
2026-08-30T07:57:01.326284,1,img_0078,ADRES,Q,22.7,0.7988,0.8292,0.9066,2372.719,41620.0,59882.0,15.39
2026-08-30T07:57:01.326284,1,img_0078,ADRES,E,17.824,0.6919,0.8292,0.9066,2037.753,41620.0,37084.0,24.85
2026-08-30T07:57:07.697372,1,img_0079,ADRES,Q,22.775,0.8017,0.8292,0.9066,2352.409,41620.0,60154.0,15.32
2026-08-30T07:57:07.697372,1,img_0079,ADRES,E,17.824,0.7011,0.8292,0.9066,2083.82,41620.0,36974.0,24.93
2026-08-30T07:57:13.976653,1,img_0080,ADRES,Q,22.759,0.8018,0.8292,0.9066,2305.341,41620.0,60742.0,15.17
2026-08-30T07:57:13.976653,1,img_0080,ADRES,E,17.872,0.6967,0.8292,0.9066,2051.122,41620.0,37328.0,24.69
2026-08-30T07:57:23.261117,1,img_0081,ADRES,Q,24.319,0.8137,0.884,0.9384,4204.145,41620.0,107473.0,8.58
2026-08-30T07:57:23.261117,1,img_0081,ADRES,E,20.125,0.6909,0.884,0.9384,3369.874,41620.0,64459.0,14.3
2026-08-30T07:57:32.541376,1,img_0082,ADRES,Q,24.354,0.8137,0.884,0.9384,4219.391,41620.0,106701.0,8.64
2026-08-30T07:57:32.541376,1,img_0082,ADRES,E,20.135,0.6909,0.884,0.9384,3356.826,41620.0,64507.0,14.29
2026-08-30T07:57:41.800823,1,img_0083,ADRES,Q,24.303,0.8131,0.884,0.9384,4204.073,41620.0,107283.0,8.59
2026-08-30T07:57:41.800823,1,img_0083,ADRES,E,20.112,0.6896,0.884,0.9384,3347.269,41620.0,64400.0,14.31
2026-08-30T07:57:51.126152,1,img_0084,ADRES,Q,24.37,0.8134,0.884,0.9384,4205.159,41620.0,107322.0,8.59
2026-08-30T07:57:51.126152,1,img_0084,ADRES,E,20.131,0.6907,0.884,0.9384,3358.065,41620.0,64531.0,14.28
2026-08-30T07:57:57.203178,1,img_0085,ADRES,Q,20.459,0.78,0.5494,0.7092,2344.93,41620.0,64146.0,14.37
2026-08-30T07:57:57.203178,1,img_0085,ADRES,E,18.278,0.7077,0.5494,0.7092,2108.884,41620.0,38231.0,24.11
2026-08-30T07:58:03.366847,1,img_0086,ADRES,Q,20.446,0.7804,0.5494,0.7092,2320.057,41620.0,65028.0,14.17
2026-08-30T07:58:03.366847,1,img_0086,ADRES,E,18.266,0.7064,0.5494,0.7092,2139.875,41620.0,38367.0,24.02
2026-08-30T07:58:09.489728,1,img_0087,ADRES,Q,20.478,0.7796,0.5494,0.7092,2286.832,41620.0,64714.0,14.24
2026-08-30T07:58:09.489728,1,img_0087,ADRES,E,18.318,0.705,0.5494,0.7092,2094.967,41620.0,38531.0,23.92
2026-08-30T07:58:15.688044,1,img_0088,ADRES,Q,20.46,0.7798,0.5494,0.7092,2406.347,41620.0,64788.0,14.22
